"CO_URF";"NO_URF"
"0145100";"0145100 - MUNDO NOVO"
"0811201";"0811201 - AMERICANA"
"0217601";"0217601 - AEROPORTO INTERNAC. DE BELEM (PA)"
"0210106";"0210106 - BREVES"
"0210151";"0210151 - BARCARENA"
"0615100";"0615100 - IRF/BELO HORIZONTE - MG"
"0140151";"0140151 - BELA VISTA"
"0145352";"0145352 - PORTO MURTINHO"
"0915200";"0915200 - CURITIBA"
"1011052";"1011052 - QUARAI"
"0920600";"0920600 - ITAJAI"
"1015300";"1015300 - CHUI"
"0920151";"0920151 - IMBITUBA"
"0210400";"0210400 - MONTE DOURADO"
"1010703";"1010703 - MONTENEGRO"
"0325100";"0325100 - PORTO DE SAO LUIS"
"1015600";"1015600 - SANTANA DO LIVRAMENTO"
"0317600";"0317600 - PORTO DE FORTALEZA"
"0925200";"0925200 - FLORIANOPOLIS"
"1010954";"1010954 - BARRA DO QUARAI"
"0417800";"0417800 - PORTO DE SUAPE"
"1010104";"1010104 - SANTA CRUZ DO SUL"
"0515100";"0515100 - ILHEUS"
"0420153";"0420153 - AREIA BRANCA"
"0910351";"0910351 - SANTO ANTONIO DO SUDOESTE"
"0517600";"0517600 - PORTO DE SALVADOR"
"1011200";"1011200 - CHUI"
"1010500";"1010500 - RIO GRANDE"
"0317700";"0317700 - AEROPORTO INTERNACIONAL PINTO MARTINS"
"0917601";"0917601 - ANTONINA"
"1011051";"1011051 - BAGE"
"0810603";"0810603 - CUBATAO"
"0140152";"0140152 - PORTO MURTINHO"
"1011001";"1011001 - DOM PEDRITO"
"0925100";"0925100 - ITAJAI"
"0910652";"0910652 - SANTA HELENA"
"0920153";"0920153 - AEROP. INTERNAC. HERCILIO LUZ (SC)"
"0715300";"0715300 - ANGRA DOS REIS"
"0710451";"0710451 - MACAE"
"0140252";"0140252 - PORTO MURTINHO"
"0145200";"0145200 - CORUMBA"
"0517601";"0517601 - AEROP. INTERN. DOIS DE JULHO (BA)"
"0517700";"0517700 - AEROPORTO INTERNACIONAL DE SALVADOR DEP. LUIS EDUARDO"
"0517602";"0517602 - PORTO DE ARATU"
"0317601";"0317601 - AEROP. INTERN. PINTO MARTINS (CE)"
"0420151";"0420151 - AREIA BRANCA"
"0910700";"0910700 - PARANAGUA"
"0145300";"0145300 - PONTA PORA"
"0917801";"0917801 - ANTONINA"
"0220152";"0220152 - TABATINGA"
"0915100";"0915100 - ANTONINA"
"0910651";"0910651 - GUAIRA"
"0715500";"0715500 - MACAE"
"0910751";"0910751 - ANTONINA"
"0910151";"0910151 - SAO JOSE DOS PINHAIS"
"0317602";"0317602 - PECEM"
"0910601";"0910601 - MEDIANEIRA"
"1010953";"1010953 - SAO BORJA"
"0217600";"0217600 - PORTO DE BELEM"
"1015500";"1015500 - CHUI"
"0910600";"0910600 - FOZ DO IGUACU"
"1010900";"1010900 - URUGUAIANA"
"0917600";"0917600 - PORTO DE PARANAGUA"
