CO_NCM;NO_NCM_ING
3047900;Other fish fillets, frozen
3048100;Fillets of pacific, atlantic and danube salmon, frozen
3048200;Trout fillets, frozen
3048300;Fillets of flatfish, frozen
3048400;Fillets of swordfish (xyphias gladius), frozen
3048510;Fillets of black hake (dissostichus eleginoides),frozen
3048520;Fillets of antartic hake (dissostichus mawson), frozen
3048600;Fillet of herring (clupea harengus y pallasii), frozen
3048700;Tuna fillets, frozen
3048910;Fillet of porgies, frozen
3048920;Fillet of atlantic wreckfish, frozen
3048930;Fillets of grouper (acanthistius spp.), frozen
3048940;Fillets of blue shark (prionace glauca), frozen
3048990;Other frozen fillets, of fish
3049000;Other fish meat, frozen
3049100;Sword fish (xiphias gladius),  fresh,  chilled,  frozen
3049200;Whiting (dissostichus spp.), fresh, chilled, frozen
3049211;Whiting cheeks, fresh, chilled, frozen
3049212;Withing necklaces, fresh, chilled, frozen
3049219;Other black whiting, fresh, chilled, frozen
3049221;Antarctic whiting cheeks, fresh, chilled, frozen
3049222;Antarctic withing necklaces, fresh, chilled, frozen
44191100;Bread cutting boards, other cutting boards and the like, made of bamboo
44191200;Chopsticks (hashi or fachi), of bamboo
44191900;Other articles of wood, for table or kitchen, of bamboo
44199000;Other articles of wood, for table or kitchen
44219100;Other works in bamboo
44219900;Other wood products
3021200;Fresh or chilled pacific salmon, etc.except filets, etc.
3021300;Pacific salmon, fresh or chilled
3021400;Atlantic salmon and danube salmon, fresh or chilled
3021900;Other fresh or chilled salmonidae exc.fish filets, etc.
3022100;Fresh/chilled halibut exc.filets, etc.
3022200;Fresh/chilled plaice exc.filets, etc.
3022300;Fresh/chilled sole exc.fish filets, oth.fish meat, etc
3022400;Turbot (psetta maxima), fresh or chilled
15030000;Lard stearin, lard oil, etc.unprepared
15041011;Oils of livers of cod, crude
15041019;Other oils of livers of cod
15041090;Other oils of livers of oth.fish  and their fractions
15042000;Fats and oils and their fractions, of fish
15043000;Fats and oils and their fractions, of marine mammals
15050010;Lanolin
15050090;Obter fatty substances deriv.of lanolin, incl.wool grease
15051000;Wool grease, crude
15059010;Lanolin
12119090;Oth.plants/part, fresh/dried, forperfumery, medicine, etc
12121000;Loc.beans incl.seeds, fresh/chilled/dried/frozen/powder
12122000;Seaweeds, fresh/chilled/dried/frozen/powder
12122100;Algae that are fit for human consumption
12122900;Other algae, fresh, chilled, frozen or dried
12123000;Stones and almonds of apricots, peaches and plums
12129100;Sugar beet, fresh/chilled/dried/frozen/powder
12129200;Sugar cane (fresh,  chillen,  frozen,  dry,  powder)
12129300;Cane sugar, fresh, chilled, frozen or dried
12129400;Roots of chicory, fresh, frozen, dried or chilled
12129900;Other vegetable products used mainly for human
12129910;Stevia rebaudiana
12129990;Other vegetable products used mainly forhuman
12130000;Cereal straw and husks, unprepared, ground, pressed, etc.
12141000;Lucerne (alfalfa) meal and pellets
12149000;Swedes, fodder roots, and oth.forage products
13011000;Lac
13012000;Gum arabic
13019000;Other gums,  resins,  gum-resins,  oleoresins,  natural
13019010;Lac
13019090;Other gums,  resins,  gum-resins,  oleoresins,  natural
13021100;Juices and extracts, of opium
13021110;Concentrated of straw of poppy
13021190;Other juices and vegetable extracts, of opium
13021200;Juices and extracts, of liquorice
13021300;Juices and extracts, of hop
13021400;Juice/extracts of pyrethrum/the root of plant containing rotenone
38249922;"Preparations containing stearoyl benzoyl methane and palmitoyl benzoylmethane; preparations containing caprylate and caprate of propylene glycol"
38249923;Preparations containing triglycerides of caprylic and capric acids
3048810;Blue shark filets (Prionace glauca), frozen
3048890;Fillets of dogfish and other sharks, and rays fillets (Rajidae), frozen
2076000;Meat of dangola chicken (painted)
2081000;Fres/chil/froz oth.meat/edib.meat offal of rabib./hares
2082000;Fresh/chilled/frozen frogs' legs
2083000;Meat of primates, fresh/chilled/frozen
2084000;Meat of whales, etc, fresh/chilled/frozen
2085000;Meat of reptiles, fresh/chilled/frozen
2086000;Other meat and edible offal, of camels and camilídeos
2089000;Fresh/chilled/frozen meat/edib.meat offal,  of other animals
2090011;Fresh/chilled/frozen pig fat, free of lean meat
2090019;Salted/in brine/dried/smoked pig fat,  free of lean meat
2090021;Fresh, chilled or frozen pig fat
2090029;Salted, in brine, dried, smoked, etc. pig fat
2090090;Bird fat,  not rendered,  fresh,  chilled,  frozen, etc.
2091011;Bacon pork, fresh, chilled or frozen
2091019;Other pork fat
2091021;Fat of pork, fresh, chilled or frozen
2091029;Other pork fat
2099000;Bacon and other fats
3027210;Catfish (ictalurus puntactus), fresh or chilled
3027290;Other catfish, fresh or chilled
3027300;Carp (cyprinus carpio, carassius carassius, etc.)
3027400;Eels (anguila spp.), fresh or chilled
3027900;Nile perch, snakehead, fresh or chilled
3028100;Dogfish and other sharks, fresh or chilled
3028200;Skates (rajidae), fresh or chilled
3028310;Black hake (dissostichus eleginoides), fresh or chilled
3028320;Hake from antartica (dissostichus mawson)
3028400;Bass (dicentrarchus spp.), fresh or chilled
3028500;Porgies, sea breams (sparidae), fresh or chilled
3028911;Marlin (istiophorus spp, tetrapturus spp, makaira spp)
3028912;Snapper (lutjanus purpureus), fresh or chilled
3028921;Atlantic wreckfish(polyprion americanus),fresh or chil.
3028922;Groupers (acanthistius spp.), fresh or chilled
3028923;Sturgeon (acipenser baeri), fresh or chilled
3028924;Sand smelt (atherina spp.), fresh or chilled
3028931;Curimatas (prochilodus spp.), fresh or chilled
3028932;"Tilapias (tilapia,sarotherodon,danakilia); its hybrids"
3019911;Tilapias, fishes for breeding
3019912;Sturgeons, fishes for breeding
3019919;Other fish, for breeding
3019990;Other live fish
3019991;Other tilapia fishes, alive
3019992;Other sturgeon fishes, alive
3019999;Other live fish
3021100;Fresh or chilled trout exc.filets, oth.meat liver, etc.
3036500;Saithe (pollachius virens), frozen
3036600;Hakea amd abroteas (merluccius, urophycis), frozen
3036700;Hake from alasca (theragra chalcogramma)
3036800;Verdinhos, frozen (except fillet, other meat)
3036910;Pink hake (macruronus megellanicus), frozen
3036990;Other fish, frozen, excluding fillets and other meat
3037100;Frozen sardines, etc.except fish filets, etc.
3037200;Frozen haddock, exc.fish filets, oth.meats, livers, etc.
3037300;Frozen coalfish, exc.fish filets oth.fish meat, etc.
3037400;Frozen mackerel, exc.fish filets, etc.
3037500;Frozen dogfish/oth.sh.exc.fish filets, oth.meats, livers,
3037511;Blue shark, whole, frozen
38249924;"Esters of fatty alcohols of C12 to C20 of methacrylic acid and mixtures thereof; esters of monocarboxylic C10 branched with glycerol"
38249925;"Mixtures of dimethyl esters of adipic, succinic and glutaric acid; Mixtures of dibasic acids C11 and C12; naphthenic acids, their water-insoluble salts and esters"
38249929;"Other industrial fatty acid derivatives; Other mixtures and preparations containing fatty alcohols or carboxylic acids or derivatives thereof"
38249931;Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), containing isocyanates of hexamethylene or other isocyanates
38249932;Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), which contain fatty amines from C8 to C22
3028937;Pirarucu (arapaima gigas), fresh or chilled
38249939;Other mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers)
38249941;Descaling, anticorrosive and antioxidant preparations
38249942;Eutectic mixture of diphenyl and diphenyl oxide
38249943;Mixtures based on trimethyl-3,9-diethyldecane
38249949;"Other distilling, anticorrosive or anti-oxidising mixtures and preparations; Fluids for heat transfer"
29398000;Other alkaloids, natural or produced by synthesis, and their salts, esters and other derivatives
30021100;Diagnostic kits to detect malaria
30021211;Antiophidic and other anti poisons
30021212;Antitetanus
30021213;Anticatarrhal
30021214;Antipiogenic
30021215;Antidiphtherial
30021216;Polyvalents
30021219;Other anti serum and other blood fractions
30021221;Anti-Rh immunoglobulin
30021222;Other serum immunoglobulins
30021223;Factor VIII concentrate
30021224;Serum albumin, in gel form, for preparing diagnostic reagents
30021229;Other fractions of blood, except those prepared as medicines
30021231;Serum albumin, except human
3026949;Fresh/chilled argentine anchoita, exc.fish filets, oth.
3028944;Tambaqui (colossoma macropomum)
3028945;Tambacu (hybrid of tambaqui and pacu)
3028990;Other fish, fresh or chilled
3029000;Livers and roes of fish, fresh or chilled
38249951;Defoamers containing tributyl phosphate in isopropyl alcohol solution
38249952;Mixtures of polyethylene glycol
38249953;Polyethylene glycol liquid
38086100;Goods specified in Note of Subheadings 2 of this Chapter, packed in packages with a net weight content not exceeding 300 g
38086210;Goods specified in Note of Subheadings 2 of this Chapter, packed in packages with a net weight content greater than 300 g but not exceeding 7.5 kg, based on alpha-cypermethrin (ISO)
38086290;Other goods specified in Note of Subheadings 2 of this Chapter, packed in packages with a net weight content not exceeding 300 g
38086910;Other goods specified in Note of Subheadings 2 of this Chapter, based on alpha-cypermethrin (ISO)
38086990;Other goods specified in Note of Subheadings 2 of this Chapter
38123100;Mixtures of oligomers of 2,2,4-trimethyl-1,2-diidroquinolina (TMQ)
3063400;Norwegian lobster (Nephrops) (Nephrops norvegicus), live, fresh or chilled
3063500;Cold water shrimps (Pandalus spp., Crangon crangon), live, fresh or chilled
3063600;Other shrimp, live, fresh or chilled
3063910;Freshwater lobster (Cherax quadricarinatus), live, fresh or chilled
3063990;Other, including flours, meals and pellets of crustaceans, fit for human consumption
3069100;Lobsters (Palinurus spp., Panulirus spp., Jasus spp.)
3069200;Lavagantes (Homarus spp.)
3069300;Crabs
3069400;Norwegian lobster (Nephrops norvegicus)
3069500;Shrimp
3069910;Freshwater lobster (Cherax quadricarinatus)
3069990;Other crustaceans, including flours, meals and pellets of crustaceans, fit for human consumption
3071200;Oysters, frozen
3072200;Vieiras (Scallops), including the North American one, and other mollusks of the genres Pecten, Chlamys or Placopecten, frozen
3073200;Mussels (Mytilus spp., Perna spp.), frozen
3074200;"Sépias (Chocos) (Chocos e chopos); lulas (potas and lulas), live, fresh or chilled"
3074310;Squids (lulas), frozen
3074320;Sépias, frozen
3074900;"Other sepias (Chocos) (Chocos e chopos); lulas (potas and lulas)"
3028938;Pescadas (cynocion spp.), fresh or chilled
3028941;Piramutaba (brachyplatystoma vaillantii),fresh or chi.
3028942;Jau (brachyplatystoma flavicans), fresh or chilled
3028943;Pacu (piaractus mesopotamicus), fresh or chilled
3023100;Fresh/chilled tunas or skipjack exc.fish filets, etc.
3023200;Fresh/chilled yellowfin tunas exc.fish filets
3023300;Fresh/chilled skipjack, etc.exc.fish filets, etc.
3023400;"Fresh or chilled bigeye tunas ""thunnus obesus"""
3023500;"Fresh/chilled bluefin tunas ""thunnus thynnus"""
3023600;Fresh/chilled southern bluefin tunas
3023900;Other fresh/chilled tunas, exc.fish filets oth.fish meat,
3024000;Fresh/chilled herrings, exc.fish filets oth.fish meat,
3024100;Herring(clupea harengus,clupea pallasii), fresh/chilled
3038114;Blue shark in pieces,  without skin, frozen
3038119;Other blue sharks, frozen
3038190;Other sharks, frozen
3038200;Skates (rajidae), frozen
3038311;Black hake, eviscerated, without head or tail, frozen
3038312;Head of black hakes, frozen
3038319;Other parts of black hakes, frozen
3038321;Hake from antartica,evisc.,frozen, without head or tail
3038322;Heads of hakes from antarctica, frozen
3038329;Other parts of hakes from antarctica, frozen
3038400;Seabass (dicentrarchus spp.), frozen
3038910;Corvina (micropogonias furnieri), frozen
3038920;Pescadas (cynoscion spp.), frozen
3038931;Marlin (istiophorus, tetrapturus, makaira), frozen
3038932;Snapper (lutjanus purpureus), frozen
3038933;Frog fish (lophius gastrophysus), frozen
3038941;Atlantic wreckfish (polyprion americanus), frozen
3038942;Groupers (acanthistius spp.), frozen
3038943;Mullet (mujil spp.), frozen
3026600;Fresh/chilled eels, exc.fish filets oth.fish meat, etc.
3026700;Swordfish, fresh or chilled
3026800;Other fishes,  fresh,  chilled (except fillets),  etc,  other meat,  etc
3026810;Black whiting,  frozen/chilled fishes,  except fillets,  etc
3026820;Antarctic whiting,  frozen/chilled fishes,  except fillets
3041919;Fillet from other fishes, fresh or chilled
3041990;Other fish meat, fresh or chilled
3042010;Frozen filets of hake (merluccius spp.)
3042020;Frozen filets of southern red snapper
3042030;Frozen filets of tilapia
3042040;Frozen filets of wreckfish
3042050;Frozen filets of wirrah
3042060;Frozen filets of channel catfish
3042070;Frozen filets of patagonian toothfish
3042090;Frozen filets of fish
3042100;Sword fish (xiphias galdius),  frozen
3042210;Black whiting (dissostichus eleginoides), frozen
3042290;Other fish fillets, frozen
3042910;Fillet/whiting (merluccius spp.), frozen
3042920;Frozen filets of southern red snapper (lutjanus purpureus)
3042930;Filet/tilapia (oreochromis niloticus), frozen
3042940;Filet/cher-pov.(polyprion americanus.) frozen
3042950;Frozen filets of wirrah (acanthistius spp)
3042960;Frozen filets of channel catfish (ictalurus puntactus)
3042970;Blue shark fillet, frozen
3042990;Others fish fillets, frozen
3043100;Fillets of tilapia (fresh, chilled or frozen)
3043210;Fillets of catfish (ictalurus puntactus), fre,.ch. fr.
3043290;Fillets of other catfish, fresh, chilled or frozen
3043300;Fillets of nile perch, fresh, frozen or chilled
12079991;Other nuts and almonds, whether or not broken
12079992;Other castor seeds, whether or not broken
12079999;Other seeds and oleaginous fruits,  wheter or not crushed
12081000;Soy flour
12089000;Flours of other seeds, oleaginous fruits exc.mustard
12091000;Sugar beet seeds, for sowing
12091100;Sugar beet seeds, for sowing
12091900;Other beet seeds, for sowing
12092100;Lucerne (alfalfa) seeds, for sowing
12092200;Clover (trifolium spp.) seeds, for sowing
16056300;Prepared or preserved, jellyfish
16056900;Prepared or preserved, other aquatic invertebrates
16059000;Prepared preserved, of molluscs and ot.aquatic invertebr
17011100;Cane sugar, in crude
17011200;Beet sugar, in crude
17011300;Cane sugar mentioned in note 2 of heading 1701
17011400;Other cane sugar
17019100;Other cane or beet sugar added flavouring or colouring
17019900;Other cane/beet sugar/chemically pure sucrose, in solid
17021100;Lactose and lactose syrup,  by weight>= 99% lactose, etc
17021900;Other lactose and lactose syrup
17022000;Maple sugar and maple syrup
17023011;Chemically pure glucose
17023019;Oth.fructose containing dry state, by weight<20%fructose
17023020;Glucose syrup contan. dry state, by weight<20%fructose
17024010;Glucose contan.dry state, 20%<=weight<50% of fructose
29335931;Propythiouracil
29335932;Diazinon
29335933;Pyrazophs
29335934;Azathioprine
29335935;6-mercaptopurine
29335939;Other heterocyclic compounds, sulphur, without halog.
3032600;Eels (anguilla spp.), frozen
3032900;Oth.frozen salmonidae, exc.fish filets oth.fish meat, etc
3033100;Frozen halibut, exc.fish filets oth.fish meat, etc
3033200;Frozen plaice exc.fish filets, oth.fish meat, etc
3033300;Frozen sole, exc.fish filets oth.fish meat, etc
3033400;Turbot (psetta maxima), frozen
3024700;Swordfish (xiphias gladius), fresh or chilled
3025000;Fresh/chilled cod (gadus), exc.fish filets, etc.
3025100;Cod of atlantic, pacific, greenland, fresh or chilled
3025200;Haddock or lubina (melanogrammua aeglefinus), fr./ch.
3025300;Saithe (pollachus virens), fresh or chilled
3025400;Hakes (merluccius spp., urophycis spp),fresh or chilled
3025500;Hake from alasca (theragra chalcogramma), fresh or chl.
3025600;Blue whiting (micromesisticus poutassou)
3025900;Other fish of families bregmacerotidae, gadidae, etc.
3026100;Fresh/chilled sardines, etc.except fish filets, etc.
3026200;Fresh/chilled haddocks, exc.fish filets oth.fish meat,
3026300;Fresh/chilled coalfish, exc.fish filets oth.fish meat,
3026400;Fresh/chilled mackerel, etc.except fish filets, etc.
3026500;Fresh/chilled dogfish, exc.fish filets oth.fish meat, etc
3077200;Amêijoas, berbigões and arcas (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), frozen
3078200;Estrombos (Strombus spp.), live, fresh or chilled
30034200;Medicines containing pseudoephedrine (DCI) or salts thereof, for therapeutic or prophylactic uses, not in measured doses or put up for retail sale
28531000;Cyanogen chloride
28539011;Phosphide, chemically defined or not, aluminum
28539012;Phosphide, chemically defined or not, magnesium
28539013;Phosphide, chemically defined or not, copper (copper phosphite), containing over 15%, by weight, of phosphorus
28539019;Other phosphide, chemically defined or not
28539020;Cyanamide and its metal derivatives
28539030;Sulphate chlorides of phosphorus
28539090;Other products of Heading 28.53
87019100;Other tractors with an engine power not exceeding 18 kW
87019200;Other tractors with an engine power exceeding 18 kW but not exceeding 37 kW
87019300;Other tractors with an engine power exceeding 37 kW but not exceeding 75 kW
87019410;Tractors specially designed to drag logs (log skidders), with an engine power exceeding 75 kW, but not exceeding 130 kW
87019490;Other tractors with an engine power exceeding 75 kW but not exceeding 130 kW
87019510;Tractors specially designed to drag logs (log skidders), with engines of more than 130 Kw
38249100;Mixtures and preparations consisting mainly of methylphosphonate of (5-ethyl-2-methyl-2-oxide-1,3,2-dioxaphosphinan-5-il) methyl methyle and methylphosphonate of bis [(5-ethyl-2-methyl-2 -oxide-1,3,2-dioxaphosphinan-5-il) methyl]
38249911;Salinomycin mycelial
38249912;Intermediate products for the manufacture of antibiotics or vitamins or other products of Heading 2936, with a cyanocobalamin content not exceeding 55%, by weight
38249913;Intermediate products for the manufacture of antibiotics or of vitamins or other products of Heading 29.36, of the manufacture of primicine ammonium
30034300;Medicines containing norephedrine or its salts, for therapeutic or prophylactic uses, not in measured doses or put up for retail sale
29038300;Mirex (ISO)
29038900;Other halogenated derivatives of hydrocarbons cyclanes, cyclenes or cycle terpheniques
29039300;Pentachlorobenzene (ISO)
29039400;Hexabromobiphenyl
29043100;Perfluorooctane sulfonic acid
29043200;Perfluorooctane sulfonate of ammonium
29043300;Perfluorooctane sulphonate of lithium
29043400;Perfluorooctane sulphonate of potassium
29043500;Other salts of perfluorooctane sulfonic acid
29043600;Perfluoroctanoyl sulfonyl fluoride
29049100;Trichloronitromethane (chloropicrin)
3055920;Shark fins, dried, incl.salted but not smoked
3055990;Other dried fish, incl.salted but not smoked
3056100;Salted herrings, but not dried, not smoked and in brine
3056200;Salted cod (gadus),  but n/ dried, n/ smoked, in brine
3056300;Salted anchovies, n/dried, n/smoked and in brine
3056400;Tilapia, catfish, carp, eel,salted, not dried, in brine
30044200;Medicines containing pseudoephedrine (DCI) or salts thereof, in measured doses (including those intended to be administered percutaneously) or put up for retail sale
30044300;Medicines containing norephedrine or its salts, in measured doses (including those intended to be administered percutaneously) or put up for retail sale
30044910;"Vinblastine; vincristine; derivatives thereof; topotecan or its hydrochloride, in measured doses (including those intended to be administered percutaneously) or put up for retail sale"
30044920;Pilocarpine, the nitrate or its chloridrate, in measured doses (including those intended to be administered percutaneously) or put up for retail sale
30044930;Methanesulfonate dihydroergocristine, in measured doses (including those intended to be administered percutaneously) or put up for retail sale
30044940;Codeine or their salts, in measured doses (including those intended to be administered percutaneously) or put up for retail sale
30044950;"Granisetron; tropisetron or its hydrochloride, in measured doses (including those intended to be administered percutaneously) or put up for retail sale"
38249972;"Preparations based on silica in colloidal suspension; boron nitride of cubic crystalline structure, compacted with tungsten carbide substrate"
3061710;Other whole prawns, frozen
3061790;Other prawns, not whole, frozen
3061900;Other frozen crustaceans, incl.flours, etc.forhuman cons.
3061910;Krill (euphasia superba), frozen
3061990;Oth.frozen crustaceans,inclu.flours,f/human consump.
3062100;Not frozen rock lobster (palinurus, panulirus, jasus)
3062200;"Not frozen lobster (""homards"")(homarus spp)"
3062300;Shrimps, not frozen
3062400;Crabs, not frozen
3045500;Fillets of black hake and antartica hake, fresh or chi.
3045900;Other fish fillets, fresh or chilled
3046100;Fillets of tilapias (oreochromis spp.), frozen
3046210;Fillets of catfish (ictalarus puntactus), frozen
3046290;Other fish fillets, frozen
3046300;Fillets of nile perch (lates niloticus), frozen
3046900;Fillets of snakehead fish, frozen
3047100;Fillets of cods from atlantic,pacific,greenland, frozen
3047200;Haddock or lubina fillet, frozen
3047300;Fillets of saithe (pollachius virens), frozen
44072960;Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm, of cabreúva Parda (Myrocarpus spp.)
44072970;Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm, of urundei (Astronium balansae)
44079600;Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm, of bétula (vidoeiro) (Betula spp.)
44079700;Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm, of choupo (álamo) (Populus spp.)
44092200;Made-up tropical wood (with earspots, grooves, fillets, notches, beaded, beaded, beaded or the like) along any of its edges, ends or faces, whether or not planed, sanded or end-jointed
44123300;Others, with, at least, a outer layer of non-coniferous wood, from spp. Alnus, Fraxinus, Fagus Betula, Prunus, Castanea, Ulmus
44123400;Other plywood with at least one outer ply of non-coniferous wood, not specified in Subheading 4412.33
84565000;Cutting machines by waterjet
84594100;Other machines for boring, numerically controlled
84594900;Other machines for boring
5029010;Hair of badger and other brush making hair, etc
5029020;Wastes of hair
5030000;Horsehair and horseh.waste, whether/not put up as layer
5040011;Fresh/chilled/frozen/salted/smoked guts of bovine
5040012;Fresh/chilled/frozen/salted/smoked guts of sheep
5040013;Fresh/chilled/frozen/salted/smoked guts of swine
5040019;Fresh/chil./froz./salt./smok.guts of oth.anim.exc.fish
5040090;Fresh, etc.bladders and stomach of anim.exc.fish
5051000;Feathers of a kind used for stuffing and down
5059000;Skins and other parts of birds, with their feathers, etc.
5061000;Ossein and bones treated with acid
5069000;Other bones and horn-cores, unworked, defatted, etc.
5071000;Ivory powders and wastes
13021910;"Juices and extracts,  of papaya (""carica papaya""), dried"
13021920;"Juices and extracts, of seed of pomelo (""grapefruit"")"
13021930;Juices and extracts of ginkgo biloba dried
12040010;Linseed seeds for sowing
12040090;Other linseed seeds, whether or not broken
12050010;Rape or colza seeds, for sowng
12050090;Oth.rape or colza seeds, whether or not broken
8133000;Dried apples
8134010;Dried pears
8134090;Other dried fruits
8135000;Mixtures of dried fruits or fruits with hard peel
8140000;Peel of citrus fruit, melons, watermelons, fresh, dried, etc
9011110;Coffee not roasted or decaffeinated, in grain
9011190;Coffee not roasted or decaffeinated, except in grain
9011200;Coffee not roasted or decaffeinated
9012100;Coffee roasted, not decaffeinated
9012200;Roasted, decaffeinated coffee
9019000;Coffee husks, skins and coffee substitutes
9021000;Green tea (not fermented) in immediate packings<=3kg
9022000;Other green tea (not fermented)
9023000;Black tea (ferme./partly fermented), immed.packin.<=3kg
9024000;Other black tea (fermented/partly fermented)
9030010;Cut mate
9030090;Other kinds of mate
9041100;Dried pepper
9041200;Pepper of the genus piper, crushed or ground
9042000;Fruits of the genus capsicum/pimenta, dried/ground/etc.
9042100;Pepper and green bell pepper, dried, not crushed or po.
9042200;Pepper and green bell pepper, dried, crushed or powder.
9050000;Vanilla
9051000;Vanilla, not crushed or powdered
9052000;Vanilla, crushed or powdered
9061000;Cinnamon and cinnamon-tree flowers(neither crushed nor in powder)
9061100;Cinnamon and cinnamon-tree flowers(neither crushed nor in powder)
9061900;Other cinnamon and cinnamon-tree flowers(neither crushed nor in powder)
9062000;Cinnamon and cinnamon-tree flowers crushed or ground
9070000;Cloves (whole fruit, cloves and stems)
9071000;Clavel de la india, neither crushed nor powdered
9072000;Clavel de la india, crushed or powdered
9081000;Nutmeg
9081100;Nutmeg, neither crushed nor powdered
9081200;Nutmeg, crushed or powdered
9082000;Mace
9082100;Mace, neither crushed nor powdered
9082200;Mace, crushed or powdered
9083000;Cardamoms
9083100;Amomos and cardamoms, not crushed nor powdered
9083200;Amomos and cardamoms, crushed or powdered
9091010;Seeds of anise or badian
9091020;Seeds of badiane (star anise)
19042000;Prepar.foods obtained from cereal flake and mixturures
19043000;Bulgur wheat
19049000;Other cereal in grain,  pre-cooked or otherwise prepared
19051000;Crispbread
19052000;Gingerbread and the like
19052010;Panettone
19052090;Other gingerbread and the like
19053010;Sweet biscuits, containing added sugar
19053090;Waffles and waffers
19053100;Sweet biscuits, containing sweetener added
19053200;Waffles and wafers
19054000;Rusks, toasted bread and similar toasted products
19059000;Other products of bakery, pastry shop, biscuits ind.etc
19059010;Pan loaf
19059020;Cookies
19059090;Other products of bakery, pastry shop, biscuits ind.etc
20011000;Cucumbers/gherkin, prep.preserv.vinegar or acetic acid
20012000;Prepared onions, preserved by vinegar, acetic acid
20019000;Oth.vegetables prod.etc.prep.preser.vinegar, acetic acid
20021000;Tomatoes, whole or in pieces, prepared or preserved
20029010;Tomatoe juice
24012040;Unman.tobac.part./whol.stem./strip.leaves, dr.burley
24012090;Other unman.tobacco partly/wholly stemmed/stripped
24013000;Tobacco refuse
24021000;Cigars, cheroots and cigarillos, containing tobacco
24022000;Cigarettes containing tobacco
24029000;Cigars/cheroots/cigarillos/cigarettes, of tobacco subst.
24031000;Manufactured tobacco, forsmoking, cont.tobac.subst.or not
24031100;Tobacco for narghile (note 1 heading 2403)
24031900;Other tobacco for smoking
29339021;Chlordiazepoxide
29339022;Diazepam
29335941;Trimethoprim
29335942;Acyclovir
29335943;Dipiridamol tosylates
29335944;Nicarbazine
29335945;Menadione dimethylpyramidinol bisulphite
29335949;Oth.heterocyc.compoun.pyrimidine ring, alc./ether func.
29335991;Minoxidil
29335992;2-aminopyrimidine
29335993;Methaqualone and its salts
29335999;Oth.heterocyc.compoun.with pyrimidine/piperazine ring
29373990;Other hormones catecholamine
29374010;Levothyroxine sodium
29374020;Liothyronine sodium
29374090;Other derivatives of amino-acid
29375000;Prostaglandins, thromboxanes and leukotrienes
29379010;Tiratricol (triac) and its sodium salt
29379030;Sodium levothyroxine
29379040;Sodium liothyronine
29379090;Other hormones, prostaglandins, etc.
29379100;Insulin and its salts
29379210;Medroxyprogesterone and its derivatives
29379221;Levonorgestrel
29379222;Norgestrel
29379229;Norgestrel and other derivatives
29379231;Estriol succinate
29379239;Other esters and estriol salts
29379241;Estradiol hemisuccinate
29379242;Estradiol fempropionate (17-(3-phenylpropionate)
29379249;Estradiol and other esters, salts and derivatives
29379251;Allyloestrenol
29379259;Esters and salts of allyloestrenol
29379260;Desogestrel
29379270;Lynestrenol
29379291;Etynodiol acetate
30034010;Medicament c/vinblastine, vincristine, etc.exc.in doses
30034020;Medicament c/pilocarpine/its nitrate/etc.exc.doses
30034030;Medicament c/dihydroergocristine methanesulph.exc.doses
30034040;Medicament c/codeine or its salts, exc.in doses
30034050;Medicament c/granisetron, tropisetron, etc.exc.doses
12077090;Melon seeds, except for sowing
12079110;Poppy seeds, for sowing
12079190;Other poppy seeds, whether or not broken
12079210;Karite seeds for sowing
12079290;Other karite seeds, whether or not broken
12079910;Other oil seeds and oleaginous fruits, for sowing
30039086;Medicament c/furosemide/chlorthalidone, etc.exc.doses
30039087;Medicament c/tizanidine hydrochloride, etc.exc.doses
30039088;Medicament c/topotecan, uracil, etc.exc.doses
30039089;Medicaments c/oth.heterocyclic compounds, etc.exc.doses
30039091;Medicament containing pollen extract, exc.in doses
30039092;Medicaments c/disophenol/chyrsarobin, etc.exc.doses
30039093;Medicament cont.diclofenac resinate, exc.in doses
29391090;Other opium alkaloids, its derivatives and salts
29391091;Buprenorphine and its salts
29391092;Poppy straw concentrate
29391093;Buprenorphine and its salts
29391099;Other opium alkaloids, its derivatives and salts
29391110;Concentrates of poppy straw
29391121;Buprenorphine and its salts
29391122;Codeine and its salts
30034090;Medicament c/granisetron, tropisetron, etc.exc.doses
30039011;Medicament c/calcium folinate (leucovorine), exc.doses
30039012;Medicament c/nicotinamide acid, etc.exc.in doses
30039013;Medicament c/hydroxycobalamine, etc.exc.in doses
30039014;Medicament c/vitamin a1 (retinol), etc.exc.in doses
30039015;Medicament c/calcium d-pantothenate, etc.exc.in doses
24012030;Unman.tobac.partly/wholly stem./strip.leav.dr., etc.vir
29335191;Allobarbital and its salts
