CO_NCM;NO_NCM_ING
38089340;Other regulators for plant growth, packed for household use
38089341;Regulators for plant growth, with methyl bromide, packed for household use
38089349;Other regulators for plant growth, packed for household use
38089351;Regulators for plant growth, contain. bromomethane, presented in another way
38089352;Regulators for plant growth bases on hydrazide
38089225;Fungicide based on chromium, arsenic or copper compounds
38089226;Fungicide based on thiram
38089227;Fungicide based on propiconazole
38089229;Other fungicides presented in another way
38089291;Fungicide based on copper hydroxide,  etc, presented in anhoter way
38089292;Fungicide based on ziram or sulphur, presented in another way
38089293;Fungicide based on mancozeb or maneb, presented in another way
38089294;Fungicide based on sulfiram, presented in another way
38089295;Fungicide based on chromium, arsenic, copper compounds, presented in another way
38089296;Fungicide based on thiram, presented in another way
39013090;Ethylene-vinyl acetate copolymers, in oth.primary forms
39019010;Ethylene copolymers/acrylic acid, in primary forms
39019020;Ethylene copolymers/monomers etc.in primary forms
39019030;Polyethylene chlorosulphonate, in primary forms
39019040;Chlorinated polyethylene, in primary forms
90183930;Lancets for vaccination and cauterising
90183990;Oth.syringes,needles,catheters,etc.similar instruments
90183991;Article f/arteriovenous fistula,comp.needle,base,etc.
90183999;Oth.syringes,needles,catheters,etc.similar instruments
90184100;Dental drill engines,incl.other dental equipment
90184911;Dental drill engines, of tungsten carbide
90184912;Dental drill engines, of vanadium steel
90184919;Dental drill engines, of other material
90184920;Files for dentistry
90184930;Operating by laser apparatus for use in the mouth
90184940;Operat.by kinetic part.projection f/use in the mouth
90184991;Appar.f/build.ceramic parts f/dental use,computadorized
90184999;Other instruments and appliances for dentistry
90185000;Other ophthalmic instruments and appliances
85258013;Other tv cameras, for imag. within infrav. spectr.
85258019;Other television cameras
85258021;Fix. imag. video camera with 3 or more imag. pickup (captivators)
85258022;Other video cameras, for imag. within infrav. spectr.
85258029;Other video cameras of fixed images
85412190;Oth.transis.with dissip.cap.<1w,oth.than photo-transis
85412191;Transist.with dissip.cap.<1w,with heterojunction
85412199;Oth.transis.with dissip.cap.<1w,oth.than photo-transis
85412910;Oth.transis.with dissip.cap.n/moun.ot.than photo-trans.
85412920;Oth.transis.with dissip.cap.moun.,oth.than photo-trans.
85413011;"Thyristors,""diacs"",etc.n/mounted,current intesity<=3a"
85413019;"Other thyristors,""diacs"",""triacs"",n/mounted"
85413021;"Thyristors,""diacs"",etc.mounted,current intesity<=3a"
85413029;"Other thyristors,""diacs"",""triacs"",mounted"
85414011;Light-emitting diodes (led) n/mounted,exc.laser
85414012;Laser diodes n/mounted
85414013;Photo-diodes not mounted
85414014;Photo-transistors not mounted
